isExtantFORAM,AphiaID
Foraminifera,1410
Beella digitata,113433
Berggrenia pumilio,526508
Bolivina variabilis,112998
Candeina nitida,418110
Dentigloborotalia anfracta,1026357
Globigerina bulloides,113434
Globigerina falconensis,221249
Globigerinella adamsi,558961
Globigerinella calida,418106
Globigerinella radians,993793
Globigerinella siphonifera,113440
Globigerinita glutinata,113464
Globigerinita minuta,558956
Globigerinita uvula,113465
Globigerinoides conglobatus,113441
Globigerinoides elongatus,991763
Globigerinoides ruber,113444
Globigerinoides ruber subsp. ruber,1629738
Globigerinoides ruber subsp. albus,1629739
Globigerinoides tenellus,418107
Globoquadrina conglomerata,558969
Globorotalia cavernula,466342
Globorotalia (Truncorotalia) crassaformis,1455327
Globorotalia cultrata,1417053
Globorotalia eastropacia,1567942
Globorotalia hirsuta,113448
Globorotalia scitula,113452
Globorotalia truncatulinoides,113453
Globorotalia tumida,418114
Globorotalia ungulata,418115
Globorotalia menardii,113450
Globorotaloides hexagonus,1026605
Globorotaloides oveyi,1567947
Globoturborotalita rubescens,113454
Hastigerina pelagica,113477
Hastigerinella digitata,558967
Neogallitellia vivans,1048388
Neogloboquadrina dutertrei,113473
Neogloboquadrina incompta,113474
Neogloboquadrina pachyderma,113458
Orbulina universa,113460
Orcadia riedeli,418109
Pulleniatina obliquiloculata,221331
Sphaeroidinella dehiscens,418108
Tenuitellita fleisheri,1567953
Tenuitellita iota,1567956
Tenuitellita parkerae,1594269
Trilobatus sacculifer,1026286
Turborotalita clarkei,558963
Turborotalita humilis,113461
Turborotalita quinqueloba,113462
Globoconella inflata,1026410
Globorotalia cultrata,1417053
Trilobatus trilobus,1027267
