Name,aphia,scientificname,proposedaphia,comment
Globigerinella digitata,113433,Beella digitata,113433,original name not in WoRMS
Beella praedigitata,1026243,Beella praedigitata,1026243,fossil only
Globigerinita pumilio,526508,Berggrenia pumilio,526508,original name not in WoRMS
Globigerinella praecalida,927779,Globigerina calida subsp. praecalida,927779,original name not in WoRMS; probably this taxon; fossil only
Globigerina nitida,912500,Globigerina nitida,912500,unaccepted and fossil only
Globigerina pachyderma sinistral,113438,Globigerina pachyderma,113438,unaccepted
Globigerina quinqueloba dextral,221248,Globigerina quinqueloba,221248,unaccepted
Globigerina quinqueloba sinistral,221248,Globigerina quinqueloba,221248,unaccepted
Globigerina umbilicata,923885,Globigerina umbilicata,923885,unaccepted
Globigerinoides ruber sensu lato,991763,Globigerinoides elongatus,991763,NA
Globigerinoides cyclostomus,900329,Globigerina cyclostoma,900329,original name not in WoRMS; synonym of elongatus
Globigerinoides ruber highspired,710498,Globigerinoides pyramidalis,710498,original name not in WoRMS; synonym of pyramidalis
Globigerinoides ruber pyramidalis,710498,Globigerinoides pyramidalis,710498,unaccepted
Globigerinoides ruber sensu stricto,1629739,Globigerinoides ruber subsp. albus,1629739,NA
Globigerinoides ruber albus,1629739,Globigerinoides ruber subsp. albus,1629739,NA
Globigerinoides ruber var. alba,1629739,Globigerinoides ruber subsp. albus,1629739,NA
Globigerinoides ruber white,1629739,Globigerinoides ruber subsp. albus,1629739,NA
"Globigerinoides ruber sensu stricto, Barium/Calcium ratio",1629739,Globigerinoides ruber subsp. albus,1629739,NA
"Globigerinoides ruber sensu stricto, Magnesium/Calcium ratio",1629739,Globigerinoides ruber subsp. albus,1629739,NA
"Globigerinoides ruber sensu stricto, Manganese/Calcium ratio",1629739,Globigerinoides ruber subsp. albus,1629739,NA
"Globigerinoides ruber sensu stricto, Neodymium/Calcium ratio",1629739,Globigerinoides ruber subsp. albus,1629739,NA
"Globigerinoides ruber sensu stricto, Uranium/Calcium ratio",1629739,Globigerinoides ruber subsp. albus,1629739,NA
"Globigerinoides ruber sensu stricto, δ13C",1629739,Globigerinoides ruber subsp. albus,1629739,NA
"Globigerinoides ruber sensu stricto, δ18O",1629739,Globigerinoides ruber subsp. albus,1629739,NA
"Globigerinoides ruber albus, shell, weight",1629739,Globigerinoides ruber subsp. albus,1629739,NA
"Globigerinoides ruber albus, shell, weight, standard deviation",1629739,Globigerinoides ruber subsp. albus,1629739,NA
"Globigerinoides ruber white, Magnesium/Calcium ratio",1629739,Globigerinoides ruber subsp. albus,1629739,NA
"Globigerinoides ruber white, δ13C",1629739,Globigerinoides ruber subsp. albus,1629739,NA
"Globigerinoides ruber white, δ18O",1629739,Globigerinoides ruber subsp. albus,1629739,NA
Globigerinoides ruber pink,1629738,Globigerinoides ruber subsp. ruber,1629738,NA
Globigerinoides ruber ruber,1629738,Globigerinoides ruber subsp. ruber,1629738,NA
Globigerinoides ruber var. rosea,1629738,Globigerinoides ruber subsp. ruber,1629738,NA
"Globigerinoides ruber pink, area",1629738,Globigerinoides ruber subsp. ruber,1629738,NA
"Globigerinoides ruber pink, area, standard deviation",1629738,Globigerinoides ruber subsp. ruber,1629738,NA
"Globigerinoides ruber pink, density per area",1629738,Globigerinoides ruber subsp. ruber,1629738,NA
"Globigerinoides ruber pink, density, standard deviation",1629738,Globigerinoides ruber subsp. ruber,1629738,NA
"Globigerinoides ruber pink, weight",1629738,Globigerinoides ruber subsp. ruber,1629738,NA
"Globigerinoides ruber pink, weight, standard deviation",1629738,Globigerinoides ruber subsp. ruber,1629738,NA
"Globigerinoides ruber pink, δ13C",1629738,Globigerinoides ruber subsp. ruber,1629738,NA
"Globigerinoides ruber pink, δ18O",1629738,Globigerinoides ruber subsp. ruber,1629738,NA
"Globigerinoides ruber ruber, shell, weight",1629738,Globigerinoides ruber subsp. ruber,1629738,NA
"Globigerinoides ruber ruber, shell, weight, standard deviation",1629738,Globigerinoides ruber subsp. ruber,1629738,NA
Globigerinoides sacculifer sac,113445,Globigerinoides sacculifer,113445,unaccepted
Globigerinoides sacculifer sacculifer,113445,Globigerinoides sacculifer,113445,unaccepted
Globigerinoides sacculifer trilobus,113445,Globigerinoides sacculifer,113445,unaccepted
Globigerinoides trilobus sacculifer,113445,Globigerinoides sacculifer,113445,unaccepted
Globigerinoides trilobus var. sacculifer,113445,Globigerinoides sacculifer,113445,unaccepted
Globorotalita tenella,418107,Globigerinoides tenellus,418107,original name not in WoRMS
Globigerinoides trilobus,926978,Globigerinoides trilobus,926978,unaccepted
Globigerinoides trilobus trilobus,926978,Globigerinoides trilobus,926978,unaccepted
Globigerina inflata sinistral,1026410,Globoconella inflata,1026410,original name not in WoRMS
Globorotalia conglomerata,558969,Globoquadrina conglomerata,558969,original name not in WoRMS
Globoquadrina pachyderma,1322808,Globoquadrina pachyderma,1322808,unaccepted
Globoquadrina pachyderma sinistral,1322808,Globoquadrina pachyderma,1322808,unaccepted
Globorotalia theyeri,558955,Globorotalia (Hirsutella) theyeri,558955,unaccepted
Hirsutella theyeri,558955,Globorotalia (Hirsutella) theyeri,558955,NA
Globorotalia parkerae,559018,Globorotalia (Turborotalia) parkerae,559018,unaccepted
Globorotalia cultrata,1417053,Globorotalia cultrata,1417053,recent only
Globorotalia flexuosa,1026406,Globorotalia flexuosa,1026406,unaccepted
Hirsutella hirsuta,113448,Globorotalia hirsuta,113448,original name not in WoRMS
Globorotalia inflata dextral,113449,Globorotalia inflata,113449,unaccepted
Globorotalia inflata sinistral,113449,Globorotalia inflata,113449,unaccepted
Globorotalia menardii flexuosa,113450,Globorotalia menardii,113450,unaccepted for extant species
Globorotalia menardii group,113450,Globorotalia menardii,113450,unaccepted for extant species; probably sum of many taxa
Globorotalia menardii neoflexuosa,113450,Globorotalia menardii,113450,unaccepted for extant species
